weight_baseline_sched_cv,weight_baseline_seed7_cv,weight_lower_batch_cv,accuracy
0.0,0.92,0.08,0.8075463016219947
0.0,0.93,0.07,0.8073162314505924
0.0,0.94,0.06,0.8074312665362936
0.0,0.95,0.05,0.8070861612791902
0.0,0.96,0.04,0.8072011963648913
0.0,0.97,0.03,0.8074312665362936
0.0,0.98,0.02,0.8070861612791902
0.0,0.99,0.01,0.8073162314505924
0.0,1.0,0.0,0.8072011963648913
0.01,0.0,0.99,0.8097319682503163
0.01,0.01,0.98,0.8100770735074198
0.01,0.02,0.97,0.8096169331646152
0.01,0.03,0.96,0.8107672840216266
0.01,0.04,0.95,0.8113424594501323
0.01,0.05,0.94,0.8114574945358334
0.01,0.06,0.93,0.8115725296215346
0.01,0.07,0.92,0.8118025997929369
0.01,0.08,0.91,0.8126078453928448
0.01,0.09,0.9,0.8121477050500403
0.01,0.1,0.89,0.8118025997929369
0.01,0.11,0.88,0.8124928103071437
0.01,0.12,0.87,0.8121477050500403
0.01,0.13,0.86,0.8118025997929369
0.01,0.14,0.85,0.8120326699643391
0.01,0.15,0.84,0.8122627401357414
0.01,0.16,0.83,0.8118025997929369
0.01,0.17,0.82,0.8112274243644312
0.01,0.18,0.81,0.8116875647072357
0.01,0.19,0.8,0.811917634878638
0.01,0.2,0.79,0.8118025997929369
0.01,0.21,0.78,0.8121477050500403
0.01,0.22,0.77,0.811917634878638
0.01,0.23,0.76,0.8124928103071437
0.01,0.24,0.75,0.8126078453928448
0.01,0.25,0.74,0.8123777752214425
0.01,0.26,0.73,0.8129529506499482
0.01,0.27,0.72,0.8132980559070516
0.01,0.28,0.71,0.8132980559070516
0.01,0.29,0.7,0.8128379155642471
0.01,0.3,0.69,0.811917634878638
0.01,0.31,0.68,0.8124928103071437
0.01,0.32,0.67,0.8122627401357414
0.01,0.33,0.66,0.8128379155642471
0.01,0.34,0.65,0.8123777752214425
0.01,0.35,0.64,0.8123777752214425
0.01,0.36,0.63,0.8121477050500403
0.01,0.37,0.62,0.8128379155642471
0.01,0.38,0.61,0.8128379155642471
0.01,0.39,0.6,0.8131830208213505
0.01,0.4,0.59,0.8132980559070516
0.01,0.41,0.58,0.8126078453928448
0.01,0.42,0.57,0.8126078453928448
0.01,0.43,0.56,0.8120326699643391
0.01,0.44,0.55,0.8118025997929369
0.01,0.45,0.54,0.8123777752214425
0.01,0.46,0.53,0.8122627401357414
0.01,0.47,0.52,0.8123777752214425
0.01,0.48,0.51,0.8121477050500403
0.01,0.49,0.5,0.8116875647072357
0.01,0.5,0.49,0.8118025997929369
0.01,0.51,0.48,0.8118025997929369
0.01,0.52,0.47,0.8121477050500403
0.01,0.53,0.46,0.8132980559070516
0.01,0.54,0.45,0.8127228804785459
0.01,0.55,0.44,0.8126078453928448
0.01,0.56,0.43,0.8127228804785459
0.01,0.57,0.42,0.8123777752214425
0.01,0.58,0.41,0.8128379155642471
0.01,0.59,0.4,0.8127228804785459
0.01,0.6,0.39,0.8121477050500403
0.01,0.61,0.38,0.8122627401357414
0.01,0.62,0.37,0.8116875647072357
0.01,0.63,0.36,0.811917634878638
0.01,0.64,0.35,0.8116875647072357
0.01,0.65,0.34,0.8114574945358334
0.01,0.66,0.33,0.8106522489359255
0.01,0.67,0.32,0.8103071436788221
0.01,0.68,0.31,0.8101921085931209
0.01,0.69,0.3,0.8099620384217187
0.01,0.7,0.29,0.8097319682503163
0.01,0.71,0.28,0.8097319682503163
0.01,0.72,0.27,0.8097319682503163
0.01,0.73,0.26,0.8099620384217187
